
Список сокращений и аббревиатур

Сокращение    Расшифровка
---------------------------------------------
vESR          Virtual Eltex Service Router — Виртуальный сервисный маршрутизатор Eltex
GNS3          Graphical Network Simulator 3 — Графический сетевой симулятор
GRE           Generic Routing Encapsulation — Универсальная инкапсуляция маршрутизируемого трафика
IPSEC         Internet Protocol Security — Протокол безопасности IP-сетей
WAN           Wide Area Network — Глобальная сеть
LAN           Local Area Network — Локальная сеть
NAT           Network Address Translation — Трансляция сетевых адресов
SNAT          Source Network Address Translation — Подмена адреса источника
DNAT          Destination Network Address Translation — Подмена адреса назначения
SSH           Secure Shell — Протокол защищённого удалённого доступа
OSPF          Open Shortest Path First — Протокол динамической маршрутизации
DHCP          Dynamic Host Configuration Protocol — Протокол динамической настройки узлов
VPN           Virtual Private Network — Виртуальная частная сеть
VLAN          Virtual Local Area Network — Виртуальная локальная сеть
QoS           Quality of Service — Качество обслуживания
MPLS          Multi-Protocol Label Switching — Маршрутизация с многопротокольной коммутацией меток
ALG           Application Layer Gateway — Шлюз прикладного уровня
VRF           Virtual Routing and Forwarding — Виртуальная маршрутизация и коммутация
PBR           Policy-Based Routing — Маршрутизация, основанная на политиках
IKE           Internet Key Exchange — Протокол обмена ключами
MD5           Message Digest 5 — Криптографическая хэш-функция
AES           Advanced Encryption Standard — Стандарт симметричного шифрования
ESP           Encapsulating Security Payload — Инкапсуляция полезной нагрузки (IPSEC)
AH            Authentication Header — Заголовок аутентификации (IPSEC)
ICMP          Internet Control Message Protocol — Протокол управляющих сообщений интернета
TRACEROUTE    Утилита трассировки маршрута пакетов
GUI           Graphical User Interface — Графический интерфейс пользователя
VNC           Virtual Network Computing — Удалённое управление рабочим столом
PuTTY         Популярный терминальный клиент для удалённого доступа
VMware        Популярное программное обеспечение виртуализации
